KB672413	AALBS	CDS	5	6664	.	-	0	AALB000001-RA	AALB000001-PA	AALB000001	AALBS:000001
KB672413	AALBS	CDS	17865332	17865352	.	+	0	AALB000994-RA	AALB000994-PA	AALB000994	AALBS:000994
KB672413	AALBS	CDS	17865529	17865670	.	+	0	AALB000994-RA	AALB000994-PA	AALB000994	AALBS:000994
KB672413	AALBS	CDS	17865755	17866449	.	+	2	AALB000994-RA	AALB000994-PA	AALB000994	AALBS:000994
KB672413	AALBS	CDS	17868546	17868647	.	-	0	AALB000995-RA	AALB000995-PA	AALB000995	AALBS:000995
KB672413	AALBS	CDS	17868060	17868481	.	-	0	AALB000995-RA	AALB000995-PA	AALB000995	AALBS:000995
KB672413	AALBS	CDS	17867671	17867917	.	-	1	AALB000995-RA	AALB000995-PA	AALB000995	AALBS:000995
KB672413	AALBS	CDS	17867061	17867599	.	-	0	AALB000995-RA	AALB000995-PA	AALB000995	AALBS:000995
KB672413	AALBS	CDS	17866744	17866999	.	-	1	AALB000995-RA	AALB000995-PA	AALB000995	AALBS:000995
KB672413	AALBS	CDS	17887459	17887659	.	-	0	AALB000996-RA	AALB000996-PA	AALB000996	AALBS:000996
KB672413	AALBS	CDS	17885988	17886859	.	-	0	AALB000996-RA	AALB000996-PA	AALB000996	AALBS:000996
KB672413	AALBS	CDS	17885252	17885371	.	-	1	AALB000996-RA	AALB000996-PA	AALB000996	AALBS:000996
KB672413	AALBS	CDS	17884804	17885084	.	-	1	AALB000996-RA	AALB000996-PA	AALB000996	AALBS:000996
KB672413	AALBS	CDS	17881781	17881867	.	-	2	AALB000996-RA	AALB000996-PA	AALB000996	AALBS:000996
KB672413	AALBS	CDS	17880461	17881695	.	-	2	AALB000996-RA	AALB000996-PA	AALB000996	AALBS:000996
KB672413	AALBS	CDS	17880250	17880388	.	-	0	AALB000996-RA	AALB000996-PA	AALB000996	AALBS:000996
KB672413	AALBS	CDS	17879896	17879950	.	-	2	AALB000996-RA	AALB000996-PA	AALB000996	AALBS:000996
KB672413	AALBS	CDS	17879200	17879802	.	-	1	AALB000996-RA	AALB000996-PA	AALB000996	AALBS:000996
KB672413	AALBS	CDS	17879010	17879124	.	-	1	AALB000996-RA	AALB000996-PA	AALB000996	AALBS:000996
KB672413	AALBS	CDS	17875386	17875528	.	-	0	AALB000996-RA	AALB000996-PA	AALB000996	AALBS:000996
KB672413	AALBS	CDS	17874796	17875254	.	-	1	AALB000996-RA	AALB000996-PA	AALB000996	AALBS:000996
KB672413	AALBS	CDS	17874574	17874723	.	-	1	AALB000996-RA	AALB000996-PA	AALB000996	AALBS:000996
KB672413	AALBS	CDS	17870907	17871510	.	-	1	AALB000996-RA	AALB000996-PA	AALB000996	AALBS:000996
KB672413	AALBS	CDS	17870309	17870594	.	-	0	AALB000996-RA	AALB000996-PA	AALB000996	AALBS:000996
KB672413	AALBS	CDS	17869749	17870230	.	-	2	AALB000996-RA	AALB000996-PA	AALB000996	AALBS:000996
KB672413	AALBS	CDS	17899170	17899314	.	+	0	AALB000998-RA	AALB000998-PA	AALB000998	AALBS:000998
KB672413	AALBS	CDS	17899389	17900631	.	+	2	AALB000998-RA	AALB000998-PA	AALB000998	AALBS:000998
KB672413	AALBS	CDS	17900697	17900952	.	+	1	AALB000998-RA	AALB000998-PA	AALB000998	AALBS:000998
KB672413	AALBS	CDS	17904634	17905000	.	-	0	AALB000999-RA	AALB000999-PA	AALB000999	AALBS:000999
KB672413	AALBS	CDS	17903349	17904525	.	-	2	AALB000999-RA	AALB000999-PA	AALB000999	AALBS:000999
KB672413	AALBS	CDS	17903012	17903289	.	-	1	AALB000999-RA	AALB000999-PA	AALB000999	AALBS:000999
KB672413	AALBS	CDS	17902396	17902940	.	-	2	AALB000999-RA	AALB000999-PA	AALB000999	AALBS:000999
KB672413	AALBS	CDS	17971508	17971514	.	+	0	AALB001001-RA	AALB001001-PA	AALB001001	AALBS:001001
KB672413	AALBS	CDS	17971782	17973798	.	+	2	AALB001001-RA	AALB001001-PA	AALB001001	AALBS:001001
KB672413	AALBS	CDS	17974361	17974765	.	+	1	AALB001001-RA	AALB001001-PA	AALB001001	AALBS:001001
KB672413	AALBS	CDS	17974829	17975648	.	+	1	AALB001001-RA	AALB001001-PA	AALB001001	AALBS:001001
KB672413	AALBS	CDS	17979863	17979867	.	-	0	AALB001002-RA	AALB001002-PA	AALB001002	AALBS:001002
KB672413	AALBS	CDS	17978127	17978422	.	-	1	AALB001002-RA	AALB001002-PA	AALB001002	AALBS:001002
KB672413	AALBS	CDS	17977956	17978052	.	-	2	AALB001002-RA	AALB001002-PA	AALB001002	AALBS:001002
KB672413	AALBS	CDS	17977115	17977880	.	-	1	AALB001002-RA	AALB001002-PA	AALB001002	AALBS:001002
KB672413	AALBS	CDS	17981443	17981669	.	+	0	AALB001003-RA	AALB001003-PA	AALB001003	AALBS:001003
KB672413	AALBS	CDS	17981772	17982049	.	+	1	AALB001003-RA	AALB001003-PA	AALB001003	AALBS:001003
KB672413	AALBS	CDS	17982157	17982235	.	+	2	AALB001003-RA	AALB001003-PA	AALB001003	AALBS:001003
KB672413	AALBS	CDS	17982452	17982595	.	+	1	AALB001003-RA	AALB001003-PA	AALB001003	AALBS:001003
KB672413	AALBS	CDS	17982682	17982822	.	+	1	AALB001003-RA	AALB001003-PA	AALB001003	AALBS:001003
KB672413	AALBS	CDS	17982890	17983516	.	+	1	AALB001003-RA	AALB001003-PA	AALB001003	AALBS:001003
KB672413	AALBS	CDS	17983605	17983896	.	+	1	AALB001003-RA	AALB001003-PA	AALB001003	AALBS:001003
KB672413	AALBS	CDS	17990780	17990927	.	+	0	AALB001005-RA	AALB001005-PA	AALB001005	AALBS:001005
KB672413	AALBS	CDS	17991006	17991202	.	+	2	AALB001005-RA	AALB001005-PA	AALB001005	AALBS:001005
KB672413	AALBS	CDS	17999358	17999408	.	-	0	AALB001006-RA	AALB001006-PA	AALB001006	AALBS:001006
KB672413	AALBS	CDS	17998324	17999148	.	-	0	AALB001006-RA	AALB001006-PA	AALB001006	AALBS:001006
KB672413	AALBS	CDS	17998191	17998262	.	-	0	AALB001006-RA	AALB001006-PA	AALB001006	AALBS:001006
KB672413	AALBS	CDS	17999745	17999809	.	+	0	AALB001007-RA	AALB001007-PA	AALB001007	AALBS:001007
KB672413	AALBS	CDS	17999888	18000016	.	+	1	AALB001007-RA	AALB001007-PA	AALB001007	AALBS:001007
KB672413	AALBS	CDS	18000101	18000290	.	+	1	AALB001007-RA	AALB001007-PA	AALB001007	AALBS:001007
KB672413	AALBS	CDS	18064487	18064546	.	+	0	AALB001009-RA	AALB001009-PA	AALB001009	AALBS:001009
KB672413	AALBS	CDS	18064622	18064711	.	+	0	AALB001009-RA	AALB001009-PA	AALB001009	AALBS:001009
KB672413	AALBS	CDS	18064839	18065057	.	+	0	AALB001009-RA	AALB001009-PA	AALB001009	AALBS:001009
KB672413	AALBS	CDS	18074725	18074905	.	+	0	AALB001010-RA	AALB001010-PA	AALB001010	AALBS:001010
KB672413	AALBS	CDS	18075057	18075071	.	+	2	AALB001010-RA	AALB001010-PA	AALB001010	AALBS:001010
KB672413	AALBS	CDS	18075200	18075660	.	+	2	AALB001010-RA	AALB001010-PA	AALB001010	AALBS:001010
KB672413	AALBS	CDS	18087026	18087101	.	-	0	AALB001011-RA	AALB001011-PA	AALB001011	AALBS:001011
KB672413	AALBS	CDS	18084241	18084437	.	-	2	AALB001011-RA	AALB001011-PA	AALB001011	AALBS:001011
KB672413	AALBS	CDS	18083940	18084170	.	-	0	AALB001011-RA	AALB001011-PA	AALB001011	AALBS:001011
KB672413	AALBS	CDS	18083475	18083876	.	-	0	AALB001011-RA	AALB001011-PA	AALB001011	AALBS:001011
KB672413	AALBS	CDS	18082152	18083416	.	-	0	AALB001011-RA	AALB001011-PA	AALB001011	AALBS:001011
KB672413	AALBS	CDS	18081926	18082085	.	-	1	AALB001011-RA	AALB001011-PA	AALB001011	AALBS:001011
KB672413	AALBS	CDS	18080326	18081864	.	-	0	AALB001011-RA	AALB001011-PA	AALB001011	AALBS:001011
KB672413	AALBS	CDS	18079956	18080256	.	-	0	AALB001011-RA	AALB001011-PA	AALB001011	AALBS:001011
KB672413	AALBS	CDS	18079521	18079886	.	-	2	AALB001011-RA	AALB001011-PA	AALB001011	AALBS:001011
KB672413	AALBS	CDS	18076791	18079450	.	-	2	AALB001011-RA	AALB001011-PA	AALB001011	AALBS:001011
KB672413	AALBS	CDS	18104320	18104452	.	-	0	AALB001013-RA	AALB001013-PA	AALB001013	AALBS:001013
KB672413	AALBS	CDS	18103955	18104232	.	-	2	AALB001013-RA	AALB001013-PA	AALB001013	AALBS:001013
KB672413	AALBS	CDS	18128449	18128544	.	-	0	AALB001016-RA	AALB001016-PA	AALB001016	AALBS:001016
KB672413	AALBS	CDS	18127715	18128377	.	-	0	AALB001016-RA	AALB001016-PA	AALB001016	AALBS:001016
KB672413	AALBS	CDS	18129166	18129275	.	+	0	AALB001017-RA	AALB001017-PA	AALB001017	AALBS:001017
KB672413	AALBS	CDS	18129347	18129815	.	+	1	AALB001017-RA	AALB001017-PA	AALB001017	AALBS:001017
KB672413	AALBS	CDS	18129895	18130422	.	+	0	AALB001017-RA	AALB001017-PA	AALB001017	AALBS:001017
KB672413	AALBS	CDS	18137093	18138907	.	-	0	AALB001018-RA	AALB001018-PA	AALB001018	AALBS:001018
KB672413	AALBS	CDS	18134616	18137024	.	-	0	AALB001018-RA	AALB001018-PA	AALB001018	AALBS:001018
KB672413	AALBS	CDS	18134367	18134553	.	-	0	AALB001018-RA	AALB001018-PA	AALB001018	AALBS:001018
KB672413	AALBS	CDS	18133860	18134293	.	-	2	AALB001018-RA	AALB001018-PA	AALB001018	AALBS:001018
KB672413	AALBS	CDS	18133615	18133808	.	-	0	AALB001018-RA	AALB001018-PA	AALB001018	AALBS:001018
KB672413	AALBS	CDS	18133355	18133529	.	-	1	AALB001018-RA	AALB001018-PA	AALB001018	AALBS:001018
KB672413	AALBS	CDS	18133173	18133278	.	-	0	AALB001018-RA	AALB001018-PA	AALB001018	AALBS:001018
KB672413	AALBS	CDS	18132875	18133089	.	-	2	AALB001018-RA	AALB001018-PA	AALB001018	AALBS:001018
KB672413	AALBS	CDS	18293772	18293940	.	-	0	AALB001020-RA	AALB001020-PA	AALB001020	AALBS:001020
KB672413	AALBS	CDS	18293502	18293699	.	-	2	AALB001020-RA	AALB001020-PA	AALB001020	AALBS:001020
KB672413	AALBS	CDS	18293244	18293432	.	-	2	AALB001020-RA	AALB001020-PA	AALB001020	AALBS:001020
KB672413	AALBS	CDS	18293079	18293154	.	-	2	AALB001020-RA	AALB001020-PA	AALB001020	AALBS:001020
KB672413	AALBS	CDS	18292873	18292999	.	-	1	AALB001020-RA	AALB001020-PA	AALB001020	AALBS:001020
KB672413	AALBS	CDS	18292588	18292779	.	-	0	AALB001020-RA	AALB001020-PA	AALB001020	AALBS:001020
KB672413	AALBS	CDS	18292211	18292515	.	-	0	AALB001020-RA	AALB001020-PA	AALB001020	AALBS:001020
KB672413	AALBS	CDS	18291822	18292101	.	-	1	AALB001020-RA	AALB001020-PA	AALB001020	AALBS:001020
KB672413	AALBS	CDS	18443479	18443653	.	-	0	AALB001023-RA	AALB001023-PA	AALB001023	AALBS:001023
KB672413	AALBS	CDS	18440777	18440974	.	-	2	AALB001023-RA	AALB001023-PA	AALB001023	AALBS:001023
KB672413	AALBS	CDS	18440415	18440603	.	-	2	AALB001023-RA	AALB001023-PA	AALB001023	AALBS:001023
KB672413	AALBS	CDS	18439964	18440036	.	-	2	AALB001023-RA	AALB001023-PA	AALB001023	AALBS:001023
KB672413	AALBS	CDS	18439774	18439900	.	-	1	AALB001023-RA	AALB001023-PA	AALB001023	AALBS:001023
KB672413	AALBS	CDS	18437816	18438025	.	-	0	AALB001023-RA	AALB001023-PA	AALB001023	AALBS:001023
KB672413	AALBS	CDS	18436999	18437306	.	-	0	AALB001023-RA	AALB001023-PA	AALB001023	AALBS:001023
KB672413	AALBS	CDS	18436599	18436872	.	-	1	AALB001023-RA	AALB001023-PA	AALB001023	AALBS:001023
KB672413	AALBS	CDS	18683464	18683974	.	-	0	AALB001032-RA	AALB001032-PA	AALB001032	AALBS:001032
KB672413	AALBS	CDS	18683289	18683391	.	-	2	AALB001032-RA	AALB001032-PA	AALB001032	AALBS:001032
KB672413	AALBS	CDS	18683051	18683221	.	-	1	AALB001032-RA	AALB001032-PA	AALB001032	AALBS:001032
KB672413	AALBS	CDS	18682783	18682972	.	-	1	AALB001032-RA	AALB001032-PA	AALB001032	AALBS:001032
KB672413	AALBS	CDS	18682636	18682653	.	-	0	AALB001032-RA	AALB001032-PA	AALB001032	AALBS:001032
KB672413	AALBS	CDS	18684695	18684826	.	+	0	AALB001033-RA	AALB001033-PA	AALB001033	AALBS:001033
KB672413	AALBS	CDS	18685358	18685479	.	+	0	AALB001033-RA	AALB001033-PA	AALB001033	AALBS:001033
KB672413	AALBS	CDS	18685566	18686466	.	+	1	AALB001033-RA	AALB001033-PA	AALB001033	AALBS:001033
KB672413	AALBS	CDS	18686561	18686713	.	+	0	AALB001033-RA	AALB001033-PA	AALB001033	AALBS:001033
KB672413	AALBS	CDS	18686794	18686844	.	+	0	AALB001033-RA	AALB001033-PA	AALB001033	AALBS:001033
KB672413	AALBS	CDS	18693227	18693970	.	-	0	AALB001034-RA	AALB001034-PA	AALB001034	AALBS:001034
KB672413	AALBS	CDS	18691331	18692221	.	-	0	AALB001034-RA	AALB001034-PA	AALB001034	AALBS:001034
KB672413	AALBS	CDS	18690009	18690794	.	-	0	AALB001034-RA	AALB001034-PA	AALB001034	AALBS:001034
KB672413	AALBS	CDS	18689667	18689735	.	-	0	AALB001034-RA	AALB001034-PA	AALB001034	AALBS:001034
KB672413	AALBS	CDS	18689500	18689589	.	-	0	AALB001034-RA	AALB001034-PA	AALB001034	AALBS:001034
KB672413	AALBS	CDS	18689361	18689426	.	-	0	AALB001034-RA	AALB001034-PA	AALB001034	AALBS:001034
KB672413	AALBS	CDS	18710672	18710783	.	+	0	AALB001035-RA	AALB001035-PA	AALB001035	AALBS:001035
KB672413	AALBS	CDS	18713650	18713720	.	+	2	AALB001035-RA	AALB001035-PA	AALB001035	AALBS:001035
KB672413	AALBS	CDS	18716256	18716447	.	+	0	AALB001035-RA	AALB001035-PA	AALB001035	AALBS:001035
KB672413	AALBS	CDS	18718996	18719091	.	+	0	AALB001035-RA	AALB001035-PA	AALB001035	AALBS:001035
KB672413	AALBS	CDS	18719302	18719372	.	+	0	AALB001035-RA	AALB001035-PA	AALB001035	AALBS:001035
KB672413	AALBS	CDS	18720176	18720476	.	+	1	AALB001035-RA	AALB001035-PA	AALB001035	AALBS:001035
KB672413	AALBS	CDS	18722365	18722479	.	+	0	AALB001035-RA	AALB001035-PA	AALB001035	AALBS:001035
KB672413	AALBS	CDS	18724251	18724570	.	+	2	AALB001035-RA	AALB001035-PA	AALB001035	AALBS:001035
KB672413	AALBS	CDS	18730393	18730530	.	-	0	AALB001036-RA	AALB001036-PA	AALB001036	AALBS:001036
KB672413	AALBS	CDS	18729693	18729854	.	-	0	AALB001036-RA	AALB001036-PA	AALB001036	AALBS:001036
KB672413	AALBS	CDS	18729203	18729361	.	-	0	AALB001036-RA	AALB001036-PA	AALB001036	AALBS:001036
KB672413	AALBS	CDS	18729011	18729133	.	-	0	AALB001036-RA	AALB001036-PA	AALB001036	AALBS:001036
KB672413	AALBS	CDS	18728781	18728936	.	-	0	AALB001036-RA	AALB001036-PA	AALB001036	AALBS:001036
KB672413	AALBS	CDS	18728515	18728704	.	-	0	AALB001036-RA	AALB001036-PA	AALB001036	AALBS:001036
KB672413	AALBS	CDS	18727959	18728431	.	-	2	AALB001036-RA	AALB001036-PA	AALB001036	AALBS:001036
KB672413	AALBS	CDS	18734035	18734243	.	-	0	AALB001037-RA	AALB001037-PA	AALB001037	AALBS:001037
KB672413	AALBS	CDS	18733554	18733935	.	-	1	AALB001037-RA	AALB001037-PA	AALB001037	AALBS:001037
KB672413	AALBS	CDS	18732651	18733403	.	-	0	AALB001037-RA	AALB001037-PA	AALB001037	AALBS:001037
KB672413	AALBS	CDS	18756421	18756423	.	-	0	AALB001038-RA	AALB001038-PA	AALB001038	AALBS:001038
KB672413	AALBS	CDS	18755627	18756202	.	-	0	AALB001038-RA	AALB001038-PA	AALB001038	AALBS:001038
KB672413	AALBS	CDS	18757784	18757891	.	+	0	AALB001039-RA	AALB001039-PA	AALB001039	AALBS:001039
KB672413	AALBS	CDS	18757963	18762073	.	+	0	AALB001039-RA	AALB001039-PA	AALB001039	AALBS:001039
KB672413	AALBS	CDS	18762142	18762501	.	+	2	AALB001039-RA	AALB001039-PA	AALB001039	AALBS:001039
KB672413	AALBS	CDS	18768005	18768197	.	+	2	AALB001039-RA	AALB001039-PA	AALB001039	AALBS:001039
KB672413	AALBS	CDS	18769382	18769526	.	+	1	AALB001039-RA	AALB001039-PA	AALB001039	AALBS:001039
KB672413	AALBS	CDS	18769619	18769699	.	+	0	AALB001039-RA	AALB001039-PA	AALB001039	AALBS:001039
KB672413	AALBS	CDS	18769784	18769943	.	+	0	AALB001039-RA	AALB001039-PA	AALB001039	AALBS:001039
KB672413	AALBS	CDS	18770007	18770127	.	+	2	AALB001039-RA	AALB001039-PA	AALB001039	AALBS:001039
KB672413	AALBS	CDS	18770210	18772700	.	+	1	AALB001039-RA	AALB001039-PA	AALB001039	AALBS:001039
KB672413	AALBS	CDS	18786514	18786593	.	-	0	AALB001040-RA	AALB001040-PA	AALB001040	AALBS:001040
KB672413	AALBS	CDS	18782680	18782817	.	-	1	AALB001040-RA	AALB001040-PA	AALB001040	AALBS:001040
KB672413	AALBS	CDS	18780745	18780857	.	-	1	AALB001040-RA	AALB001040-PA	AALB001040	AALBS:001040
KB672413	AALBS	CDS	18779922	18779988	.	-	2	AALB001040-RA	AALB001040-PA	AALB001040	AALBS:001040
KB672413	AALBS	CDS	18779742	18779854	.	-	1	AALB001040-RA	AALB001040-PA	AALB001040	AALBS:001040
KB672413	AALBS	CDS	18778927	18779463	.	-	2	AALB001040-RA	AALB001040-PA	AALB001040	AALBS:001040
KB672413	AALBS	CDS	18778724	18778864	.	-	2	AALB001040-RA	AALB001040-PA	AALB001040	AALBS:001040
KB672413	AALBS	CDS	18775037	18775483	.	-	2	AALB001040-RA	AALB001040-PA	AALB001040	AALBS:001040
KB672413	AALBS	CDS	18774676	18774784	.	-	2	AALB001040-RA	AALB001040-PA	AALB001040	AALBS:001040
KB672413	AALBS	CDS	18773554	18773738	.	-	1	AALB001040-RA	AALB001040-PA	AALB001040	AALBS:001040
KB672413	AALBS	CDS	18772947	18773368	.	-	2	AALB001040-RA	AALB001040-PA	AALB001040	AALBS:001040
KB672413	AALBS	CDS	18789167	18789187	.	+	0	AALB001041-RA	AALB001041-PA	AALB001041	AALBS:001041
KB672413	AALBS	CDS	18789674	18790793	.	+	0	AALB001041-RA	AALB001041-PA	AALB001041	AALBS:001041
KB672413	AALBS	CDS	18790870	18791033	.	+	2	AALB001041-RA	AALB001041-PA	AALB001041	AALBS:001041
KB672413	AALBS	CDS	18791110	18791202	.	+	0	AALB001041-RA	AALB001041-PA	AALB001041	AALBS:001041
KB672413	AALBS	CDS	19008562	19008766	.	-	0	AALB001046-RA	AALB001046-PA	AALB001046	AALBS:001046
KB672413	AALBS	CDS	19008443	19008492	.	-	2	AALB001046-RA	AALB001046-PA	AALB001046	AALBS:001046
KB672413	AALBS	CDS	19008232	19008381	.	-	0	AALB001046-RA	AALB001046-PA	AALB001046	AALBS:001046
KB672413	AALBS	CDS	19007706	19008158	.	-	0	AALB001046-RA	AALB001046-PA	AALB001046	AALBS:001046
KB672413	AALBS	CDS	19007342	19007452	.	-	0	AALB001046-RA	AALB001046-PA	AALB001046	AALBS:001046
KB672413	AALBS	CDS	19007087	19007194	.	-	0	AALB001046-RA	AALB001046-PA	AALB001046	AALBS:001046
KB672413	AALBS	CDS	19005720	19006889	.	-	0	AALB001046-RA	AALB001046-PA	AALB001046	AALBS:001046
KB672413	AALBS	CDS	19004955	19005611	.	-	0	AALB001046-RA	AALB001046-PA	AALB001046	AALBS:001046
KB672413	AALBS	CDS	19133649	19133839	.	-	0	AALB001051-RA	AALB001051-PA	AALB001051	AALBS:001051
KB672413	AALBS	CDS	19132967	19133584	.	-	1	AALB001051-RA	AALB001051-PA	AALB001051	AALBS:001051
KB672413	AALBS	CDS	19131946	19132900	.	-	1	AALB001051-RA	AALB001051-PA	AALB001051	AALBS:001051
KB672413	AALBS	CDS	19301554	19302000	.	+	0	AALB001059-RA	AALB001059-PA	AALB001059	AALBS:001059
KB672413	AALBS	CDS	19302383	19305373	.	+	0	AALB001059-RA	AALB001059-PA	AALB001059	AALBS:001059
KB672413	AALBS	CDS	19305446	19305746	.	+	0	AALB001059-RA	AALB001059-PA	AALB001059	AALBS:001059
KB672413	AALBS	CDS	19305814	19306781	.	+	2	AALB001059-RA	AALB001059-PA	AALB001059	AALBS:001059
KB672413	AALBS	CDS	19311218	19312972	.	+	0	AALB001062-RA	AALB001062-PA	AALB001062	AALBS:001062
KB672413	AALBS	CDS	19313634	19314224	.	-	0	AALB001063-RA	AALB001063-PA	AALB001063	AALBS:001063
KB672413	AALBS	CDS	19313084	19313569	.	-	0	AALB001063-RA	AALB001063-PA	AALB001063	AALBS:001063
KB672413	AALBS	CDS	19314440	19316332	.	+	0	AALB001064-RA	AALB001064-PA	AALB001064	AALBS:001064
KB672413	AALBS	CDS	19367665	19367762	.	+	0	AALB001065-RA	AALB001065-PA	AALB001065	AALBS:001065
KB672413	AALBS	CDS	19367840	19368344	.	+	1	AALB001065-RA	AALB001065-PA	AALB001065	AALBS:001065
KB672413	AALBS	CDS	19393996	19394043	.	+	0	AALB001066-RA	AALB001066-PA	AALB001066	AALBS:001066
KB672413	AALBS	CDS	19397732	19397977	.	+	0	AALB001066-RA	AALB001066-PA	AALB001066	AALBS:001066
KB672413	AALBS	CDS	19402820	19402982	.	+	0	AALB001066-RA	AALB001066-PA	AALB001066	AALBS:001066
KB672413	AALBS	CDS	19406841	19407109	.	+	2	AALB001066-RA	AALB001066-PA	AALB001066	AALBS:001066
KB672413	AALBS	CDS	19407185	19407455	.	+	0	AALB001066-RA	AALB001066-PA	AALB001066	AALBS:001066
KB672413	AALBS	CDS	19408486	19408604	.	+	2	AALB001066-RA	AALB001066-PA	AALB001066	AALBS:001066
KB672413	AALBS	CDS	19408683	19408877	.	+	0	AALB001066-RA	AALB001066-PA	AALB001066	AALBS:001066
KB672413	AALBS	CDS	19408997	19409207	.	+	0	AALB001066-RA	AALB001066-PA	AALB001066	AALBS:001066
KB672413	AALBS	CDS	19410319	19410459	.	+	2	AALB001066-RA	AALB001066-PA	AALB001066	AALBS:001066
KB672413	AALBS	CDS	19410553	19410703	.	+	2	AALB001066-RA	AALB001066-PA	AALB001066	AALBS:001066
KB672413	AALBS	CDS	19415190	19415280	.	+	1	AALB001066-RA	AALB001066-PA	AALB001066	AALBS:001066
KB672413	AALBS	CDS	19526856	19526957	.	-	0	AALB001074-RA	AALB001074-PA	AALB001074	AALBS:001074
KB672413	AALBS	CDS	19525836	19526042	.	-	0	AALB001074-RA	AALB001074-PA	AALB001074	AALBS:001074
KB672413	AALBS	CDS	19525500	19525680	.	-	0	AALB001074-RA	AALB001074-PA	AALB001074	AALBS:001074
KB672413	AALBS	CDS	19520686	19525394	.	-	2	AALB001074-RA	AALB001074-PA	AALB001074	AALBS:001074
KB672413	AALBS	CDS	19519851	19520603	.	-	0	AALB001074-RA	AALB001074-PA	AALB001074	AALBS:001074
KB672413	AALBS	CDS	19519413	19519763	.	-	0	AALB001074-RA	AALB001074-PA	AALB001074	AALBS:001074
KB672413	AALBS	CDS	19518749	19519306	.	-	0	AALB001074-RA	AALB001074-PA	AALB001074	AALBS:001074
KB672413	AALBS	CDS	19518416	19518657	.	-	0	AALB001074-RA	AALB001074-PA	AALB001074	AALBS:001074
KB672413	AALBS	CDS	19518129	19518339	.	-	1	AALB001074-RA	AALB001074-PA	AALB001074	AALBS:001074
KB672413	AALBS	CDS	19517900	19518048	.	-	0	AALB001074-RA	AALB001074-PA	AALB001074	AALBS:001074
KB672413	AALBS	CDS	19517794	19517824	.	-	1	AALB001074-RA	AALB001074-PA	AALB001074	AALBS:001074
KB672413	AALBS	CDS	19514311	19515439	.	-	0	AALB001074-RA	AALB001074-PA	AALB001074	AALBS:001074
KB672413	AALBS	CDS	19514034	19514242	.	-	2	AALB001074-RA	AALB001074-PA	AALB001074	AALBS:001074
KB672413	AALBS	CDS	19512056	19513100	.	-	0	AALB001074-RA	AALB001074-PA	AALB001074	AALBS:001074
KB672413	AALBS	CDS	19511793	19511986	.	-	2	AALB001074-RA	AALB001074-PA	AALB001074	AALBS:001074
KB672413	AALBS	CDS	19532325	19532505	.	+	0	AALB001075-RA	AALB001075-PA	AALB001075	AALBS:001075
KB672413	AALBS	CDS	19536477	19536599	.	+	2	AALB001075-RA	AALB001075-PA	AALB001075	AALBS:001075
KB672413	AALBS	CDS	19540246	19540409	.	+	2	AALB001075-RA	AALB001075-PA	AALB001075	AALBS:001075
KB672413	AALBS	CDS	19540850	19541171	.	+	0	AALB001075-RA	AALB001075-PA	AALB001075	AALBS:001075
KB672413	AALBS	CDS	19541258	19542263	.	+	2	AALB001075-RA	AALB001075-PA	AALB001075	AALBS:001075
KB672413	AALBS	CDS	19542327	19542627	.	+	1	AALB001075-RA	AALB001075-PA	AALB001075	AALBS:001075
KB672413	AALBS	CDS	19542730	19542897	.	+	0	AALB001075-RA	AALB001075-PA	AALB001075	AALBS:001075
KB672413	AALBS	CDS	19545463	19545552	.	+	0	AALB001075-RA	AALB001075-PA	AALB001075	AALBS:001075
KB672413	AALBS	CDS	19545679	19545852	.	+	0	AALB001075-RA	AALB001075-PA	AALB001075	AALBS:001075
KB672413	AALBS	CDS	19546055	19546171	.	+	0	AALB001075-RA	AALB001075-PA	AALB001075	AALBS:001075
KB672413	AALBS	CDS	19546629	19546901	.	+	0	AALB001075-RA	AALB001075-PA	AALB001075	AALBS:001075
KB672413	AALBS	CDS	19626703	19626829	.	-	0	AALB001080-RA	AALB001080-PA	AALB001080	AALBS:001080
KB672413	AALBS	CDS	19626392	19626619	.	-	2	AALB001080-RA	AALB001080-PA	AALB001080	AALBS:001080
KB672413	AALBS	CDS	19626083	19626301	.	-	2	AALB001080-RA	AALB001080-PA	AALB001080	AALBS:001080
KB672413	AALBS	CDS	19625752	19625865	.	-	2	AALB001080-RA	AALB001080-PA	AALB001080	AALBS:001080
KB672413	AALBS	CDS	19624222	19625375	.	-	2	AALB001080-RA	AALB001080-PA	AALB001080	AALBS:001080
KB672413	AALBS	CDS	19646046	19650236	.	-	0	AALB001083-RA	AALB001083-PA	AALB001083	AALBS:001083
KB672413	AALBS	CDS	19656233	19657123	.	+	0	AALB001084-RA	AALB001084-PA	AALB001084	AALBS:001084
KB672413	AALBS	CDS	19657298	19657327	.	+	0	AALB001084-RA	AALB001084-PA	AALB001084	AALBS:001084
KB672413	AALBS	CDS	19763787	19763956	.	-	0	AALB001088-RA	AALB001088-PA	AALB001088	AALBS:001088
KB672413	AALBS	CDS	19763548	19763694	.	-	1	AALB001088-RA	AALB001088-PA	AALB001088	AALBS:001088
KB672413	AALBS	CDS	19762848	19763000	.	-	1	AALB001088-RA	AALB001088-PA	AALB001088	AALBS:001088
KB672413	AALBS	CDS	19762608	19762761	.	-	1	AALB001088-RA	AALB001088-PA	AALB001088	AALBS:001088
KB672413	AALBS	CDS	19761969	19762532	.	-	0	AALB001088-RA	AALB001088-PA	AALB001088	AALBS:001088
